air_durations_A,air_durations_B,air_durations_C,air_durations_D,asc_peak_slopes_A,asc_peak_slopes_B,asc_peak_slopes_C,asc_peak_slopes_D,avg_pres_A,avg_pres_B,avg_pres_C,avg_pres_D,contact_durations_A,contact_durations_B,contact_durations_C,contact_durations_D,des_peak_slopes_A,des_peak_slopes_B,des_peak_slopes_C,des_peak_slopes_D,dog_id,pace,paw_area_cm2_A,paw_area_cm2_B,paw_area_cm2_C,paw_area_cm2_D,peak_pressure_A,peak_pressure_B,peak_pressure_C,peak_pressure_D,ratio_pres2area_A,ratio_pres2area_B,ratio_pres2area_C,ratio_pres2area_D,step_lengths_A,step_lengths_B,step_lengths_C,step_lengths_D
0.27,0.28,0.265,0.265,3.462,3.001,3.176,3.278,13.563,14.944,16.369,14.952,0.225,0.242,0.225,0.228,3.332,2.656,4.148,3.229,T0457078,5.61,21.776,22.428,25.986,22.758,71.1,69.0,75.15,70.05,0.625,0.552,0.558,0.579,0.949,1.415,1.457,0.491
0.325,0.378,0.33,0.275,3.437,3.67,3.416,4.213,13.422,14.631,14.824,16.026,0.212,0.215,0.227,0.215,3.573,2.824,3.703,4.247,T0457078,6.11,21.472,22.851,23.052,28.044,72.1,79.2,84.25,81.25,0.544,0.659,0.685,0.543,1.422,1.475,1.129,0.991
0.255,0.26,0.27,0.298,3.617,3.057,3.443,2.465,14.984,14.498,15.569,14.647,0.208,0.22,0.208,0.195,3.446,2.332,4.275,3.432,T0457078,5.98,22.712,21.65,24.398,20.952,73.1,62.95,81.25,60.9,0.846,0.62,0.581,0.665,0.895,1.05,1.012,1.269
0.265,0.275,0.272,0.33,3.717,2.696,3.336,2.387,16.86,12.363,16.819,12.3,0.222,0.227,0.22,0.192,4.377,2.366,3.274,2.957,T0457078,5.73,26.432,20.514,28.463,15.808,100.5,56.85,79.2,46.7,0.587,0.604,0.614,0.548,0.898,0.926,0.933,1.072
0.368,0.258,0.35,0.47,1.714,2.197,1.98,2.036,9.966,10.473,10.817,11.607,0.455,0.435,0.23,0.358,0.968,1.59,1.907,1.325,T0457091,5.78,27.494,25.852,26.513,28.062,46.8,64.0,51.7,48.65,0.362,0.37,0.362,0.392,1.63,1.234,1.155,1.348
0.485,0.378,0.295,0.39,4.14,4.635,4.882,4.52,24.71,25.06,22.211,25.024,0.392,0.515,0.225,0.29,3.271,2.313,5.003,2.628,T0457094,5.52,31.546,33.305,26.508,31.547,122.65,119.7,110.7,107.7,0.848,0.842,0.807,0.7,1.584,1.576,1.052,1.558
0.475,0.218,0.27,0.305,3.448,3.984,4.024,3.524,23.418,23.747,24.424,22.574,0.345,0.59,0.28,0.308,3.0,2.209,4.5,3.239,T0457094,4.68,30.67,30.586,25.017,27.93,110.7,116.7,116.7,103.25,0.716,0.789,0.739,0.706,1.279,1.049,1.16,0.949
0.265,0.25,0.25,0.245,4.637,5.624,4.902,6.081,24.998,25.331,22.957,24.743,0.262,0.245,0.245,0.215,4.456,3.661,4.27,3.974,T0457094,6.01,32.632,32.159,32.88,26.296,113.7,104.7,128.7,131.7,0.709,0.977,0.698,0.787,1.597,0.872,1.11,1.388
0.413,0.295,0.31,0.488,4.219,5.387,5.162,4.744,24.612,24.578,23.545,24.405,0.505,0.385,0.24,0.3,3.616,2.748,3.988,4.672,T0457094,5.75,33.299,35.31,27.537,32.765,116.7,125.7,122.7,134.7,0.656,0.676,0.814,0.745,1.947,1.66,1.114,1.65
0.3,0.275,0.338,0.255,1.476,1.821,1.779,1.694,9.97,9.14,10.059,9.854,0.31,0.275,0.33,0.438,1.799,1.541,1.73,1.856,T0457096,4.35,24.185,20.897,26.14,27.164,43.3,39.4,59.1,55.75,0.474,0.366,0.368,0.379,0.813,0.933,1.059,1.254
0.26,0.24,0.25,0.275,1.764,2.371,1.758,1.673,10.696,10.114,10.008,9.799,0.26,0.2,0.235,0.198,2.439,3.019,3.063,2.527,T0457189,6.06,30.498,24.654,29.05,25.096,46.25,52.9,50.2,43.0,0.344,0.418,0.36,0.857,1.109,0.932,1.116,1.058
0.28,0.31,0.315,0.277,1.78,1.463,1.64,1.491,10.394,9.49,10.07,10.767,0.245,0.268,0.25,0.265,2.588,1.805,2.008,2.883,T0457189,5.42,27.489,26.715,25.946,33.439,48.25,40.35,43.65,46.3,0.337,0.333,0.408,0.323,1.032,1.06,1.033,1.026
0.278,0.288,0.28,0.33,2.081,1.616,1.392,2.106,9.782,9.945,10.18,9.84,0.275,0.21,0.267,0.26,1.801,1.904,2.551,2.035,T0457189,5.64,28.611,26.13,27.858,27.342,54.2,39.7,48.25,47.6,0.346,0.32,0.306,0.382,1.104,1.341,1.542,1.047
0.25,0.255,0.24,0.29,1.881,2.01,2.494,1.805,10.471,9.698,10.23,10.007,0.245,0.212,0.212,0.215,2.932,2.609,2.262,2.685,T0457189,6.26,31.872,28.673,24.348,29.099,51.55,50.25,51.6,44.95,0.32,0.322,0.438,0.393,1.126,1.096,1.016,1.066
0.335,0.25,0.26,0.27,3.535,3.59,4.878,3.836,19.82,21.57,22.322,22.154,0.28,0.255,0.275,0.412,4.974,5.598,5.106,2.682,T0457194,5.55,30.887,30.196,37.229,37.846,93.6,103.25,120.1,118.9,0.768,0.584,0.61,0.552,1.271,1.0,1.127,1.703
0.24,0.525,0.395,0.32,6.578,6.201,5.136,6.039,22.22,22.758,24.742,22.908,0.495,0.385,0.285,0.348,2.447,2.493,3.858,2.686,T0457194,6.25,36.842,36.12,38.724,35.288,176.5,129.7,132.1,111.7,0.559,0.543,0.73,0.736,1.678,2.372,1.448,1.228
0.255,0.24,0.24,0.272,2.28,2.538,2.66,2.114,14.312,13.99,13.204,14.018,0.302,0.29,0.24,0.235,1.737,2.095,2.118,2.02,T0457415,4.62,21.252,21.687,17.856,17.743,50.05,61.4,50.1,45.5,0.788,0.805,0.985,0.904,0.848,0.821,0.712,0.762
0.5,0.262,0.402,0.375,2.405,2.376,2.452,2.795,14.593,15.081,14.792,14.202,0.285,0.47,0.23,0.27,1.914,1.593,2.42,1.76,T0457415,4.87,23.428,21.982,19.429,21.596,58.0,59.2,61.4,56.9,0.674,0.697,0.784,0.595,1.294,1.072,1.039,1.467
0.362,0.26,0.23,0.255,2.758,2.147,2.484,3.236,14.644,14.505,14.462,13.554,0.32,0.24,0.242,0.395,2.44,1.964,1.671,1.546,T0457415,4.59,22.544,21.081,18.734,22.476,75.1,50.1,47.8,72.8,0.637,0.623,0.53,0.651,1.07,0.73,0.757,0.881
0.198,0.192,0.195,0.185,2.072,2.272,1.839,2.189,7.788,7.98,9.099,9.221,0.125,0.105,0.13,0.11,2.06,2.001,2.04,1.936,T0457775,4.72,9.866,7.328,10.31,7.685,26.7,23.2,24.9,24.9,0.602,1.016,0.799,1.116,0.456,0.436,0.471,0.432
0.212,0.195,0.21,0.202,1.947,1.963,2.116,1.967,9.266,8.592,8.378,9.266,0.14,0.132,0.118,0.135,1.905,1.774,2.038,2.13,T0457775,4.28,9.517,8.084,7.77,10.579,24.9,24.9,24.9,28.5,0.934,0.896,1.099,1.194,0.454,0.449,0.449,0.449
0.205,0.195,0.205,0.2,1.769,1.773,1.956,2.054,8.405,8.315,8.241,8.169,0.125,0.15,0.138,0.135,1.7,1.707,1.71,1.773,T0457775,3.97,7.192,10.558,8.814,8.438,23.2,24.9,24.05,24.9,0.944,0.866,0.783,0.997,0.29,0.412,0.435,0.446
0.22,0.208,0.202,0.2,2.259,2.192,1.969,1.997,8.088,9.673,7.998,9.146,0.115,0.135,0.115,0.135,2.078,2.151,2.048,1.851,T0457775,4.49,7.719,11.25,8.764,9.042,24.9,28.5,24.9,24.9,0.964,0.901,1.122,1.218,0.441,0.479,0.45,0.466
0.202,0.205,0.192,0.208,2.089,2.337,1.94,1.851,9.459,7.503,8.353,8.753,0.125,0.108,0.135,0.12,1.943,1.791,1.747,1.875,T0457775,4.55,11.25,6.858,11.405,7.105,23.2,24.05,23.2,23.2,0.632,0.887,0.627,0.719,0.375,0.392,0.444,0.46
0.328,0.222,0.23,0.228,1.856,1.813,1.271,1.802,8.569,8.397,7.722,8.208,0.2,0.2,0.185,0.19,1.812,1.483,1.765,1.792,T0457776,5.43,24.529,24.511,17.828,21.521,35.0,32.4,29.8,33.7,0.487,0.308,0.429,0.415,0.772,0.948,0.755,1.104
0.238,0.235,0.225,0.23,1.522,1.836,1.447,1.773,7.828,8.657,8.008,8.429,0.2,0.2,0.195,0.2,1.556,2.201,1.733,1.571,T0457776,5.5,18.805,23.9,18.101,25.902,28.5,45.35,31.1,35.0,0.413,0.329,0.37,0.393,0.818,0.846,0.848,0.822
0.235,0.228,0.24,0.24,1.744,1.703,1.184,1.987,8.435,8.606,7.57,9.122,0.195,0.195,0.19,0.19,1.69,1.687,1.85,2.191,T0457776,5.51,25.547,18.062,18.553,24.679,33.7,35.0,30.45,42.8,0.504,0.359,0.42,0.395,0.781,0.825,0.822,0.834
0.225,0.245,0.238,0.332,1.495,1.317,1.651,1.447,8.995,7.825,8.508,7.991,0.198,0.3,0.2,0.2,1.843,0.928,1.608,1.311,T0457776,5.36,24.168,18.722,26.534,17.247,33.7,27.2,35.0,25.9,0.393,0.382,0.294,0.341,0.805,0.82,0.809,0.942
0.23,0.265,0.235,0.255,5.727,3.18,5.488,4.126,30.167,25.666,30.658,26.846,0.308,0.305,0.322,0.28,6.856,5.375,4.711,4.236,T0457781,5.35,35.148,25.997,34.376,26.2,172.35,120.45,159.4,116.75,0.854,0.986,0.819,1.089,1.059,1.033,1.008,1.035
0.27,0.258,0.265,0.232,1.896,1.977,1.986,2.192,10.167,9.659,10.692,10.868,0.305,0.305,0.305,0.33,2.108,1.967,1.695,1.762,T0457794,4.4,30.632,30.333,30.662,29.687,61.8,53.0,56.3,55.2,0.332,0.387,0.382,0.368,0.806,0.576,1.471,0.873
0.24,0.2,0.205,0.192,2.638,6.214,3.661,4.567,10.201,16.542,14.883,17.061,0.13,0.185,0.178,0.195,2.222,4.509,6.055,3.451,T0457899,6.88,13.55,30.626,27.673,27.245,32.6,94.05,71.7,76.4,0.913,0.571,0.54,0.751,0.876,0.956,0.923,0.951
0.455,0.275,0.305,0.535,3.281,3.211,4.436,3.171,18.258,20.021,17.932,20.102,0.545,0.425,0.275,0.3,2.16,3.142,4.442,4.08,T0458170,5.2,33.772,34.788,26.496,37.406,104.5,101.5,132.1,106.5,0.643,0.584,0.677,0.558,1.661,1.635,1.126,1.703
0.58,0.615,0.6,0.595,2.451,3.068,3.272,2.385,18.784,19.09,19.874,19.878,0.56,0.582,0.592,0.582,3.264,1.072,1.659,3.418,T0458170,5.0,35.128,33.524,33.43,33.592,134.1,91.7,130.15,138.05,0.553,0.576,0.547,0.554,2.075,2.05,2.075,2.084
0.87,0.46,0.29,0.56,1.81,4.995,3.033,3.621,16.157,18.683,18.271,19.456,0.388,0.595,0.555,0.412,3.823,2.795,3.496,2.113,T0458170,5.35,23.19,32.591,34.49,36.046,91.7,134.1,143.95,97.6,0.963,0.547,0.534,0.575,2.092,1.656,1.635,1.671
0.31,0.575,0.43,0.31,2.211,3.582,3.281,3.741,19.106,17.954,19.58,18.702,0.572,0.295,0.295,0.57,3.889,2.158,4.346,3.168,T0458170,4.95,33.102,32.742,29.331,30.814,123.25,88.7,100.6,102.5,0.538,0.534,0.599,0.506,1.661,1.93,1.108,1.374
0.215,0.212,0.2,0.232,0.939,1.358,1.008,1.207,7.028,6.528,7.562,6.705,0.268,0.25,0.29,0.225,1.55,1.183,1.306,1.21,T0458181,4.04,22.189,16.751,20.876,14.849,28.6,24.5,28.55,25.5,0.364,0.418,0.38,0.409,0.667,0.599,0.657,0.603
0.218,0.208,0.24,0.225,1.693,1.431,1.471,1.555,7.001,7.279,6.442,6.647,0.2,0.225,0.182,0.175,1.24,2.357,1.295,1.453,T0458181,4.42,20.204,21.82,18.252,17.526,25.5,33.7,27.05,27.5,0.954,0.359,0.427,0.452,0.696,0.681,0.551,0.617
0.24,0.245,0.235,0.24,1.208,0.968,4.638,1.379,6.6,6.592,6.645,6.86,0.238,0.225,0.195,0.222,1.555,1.244,1.971,1.82,T0458181,4.38,19.675,19.484,20.333,21.462,22.95,23.95,28.6,32.15,0.334,0.445,0.32,0.384,0.67,0.745,0.674,0.665
0.225,0.23,0.235,0.202,1.657,1.735,1.579,1.388,7.303,7.131,7.251,6.934,0.185,0.175,0.195,0.23,2.007,1.75,2.218,1.666,T0458181,4.98,17.365,20.158,22.817,22.321,31.15,30.65,34.7,33.7,0.461,0.397,0.375,0.311,0.63,0.661,0.697,0.835
0.55,0.348,0.335,0.34,4.071,4.022,4.987,4.526,15.262,13.431,13.612,15.34,0.4,0.21,0.49,0.288,2.615,3.204,2.614,3.056,T0458241,4.96,35.526,30.204,33.508,34.386,116.1,72.3,152.2,96.9,0.409,0.424,0.397,0.425,1.49,0.772,1.55,1.554
0.31,0.4,0.277,0.39,3.275,3.917,5.068,5.928,12.748,14.339,14.788,15.051,0.212,0.26,0.285,0.285,3.153,2.979,3.115,4.628,T0458241,5.65,28.892,34.093,31.899,35.996,73.0,107.6,119.9,158.4,0.376,0.403,0.438,0.418,1.059,1.3,1.343,1.325
0.31,0.42,0.275,0.41,2.71,3.737,3.4,5.313,12.954,14.178,14.438,15.37,0.222,0.33,0.395,0.29,3.285,3.279,3.647,4.41,T0458241,4.59,29.138,33.682,29.714,34.462,63.05,104.55,101.5,113.8,0.454,0.369,0.523,0.476,0.957,1.011,1.288,1.307
0.248,0.21,0.24,0.255,3.574,3.594,4.142,2.261,12.126,11.086,12.159,11.768,0.21,0.2,0.245,0.205,2.451,3.33,2.752,2.387,T0458282,5.39,28.641,29.264,25.746,27.668,56.7,65.5,82.4,50.65,0.428,0.317,0.465,1.466,0.754,0.684,0.667,0.823
0.255,0.24,0.258,0.275,2.943,2.359,3.581,2.551,12.725,12.061,11.599,12.562,0.227,0.268,0.225,0.255,5.392,1.882,2.33,3.71,T0458282,5.69,29.268,27.327,26.716,29.224,70.9,59.45,59.4,70.9,0.449,0.49,0.463,0.448,0.996,1.08,0.999,1.492
0.265,0.335,0.26,0.28,2.654,3.129,2.051,3.07,12.634,12.863,11.33,11.992,0.235,0.248,0.25,0.225,3.44,3.254,1.537,2.674,T0458282,5.73,29.135,29.196,27.762,23.702,71.6,72.9,50.0,56.7,0.391,0.445,0.389,0.511,1.011,0.965,1.027,1.03
0.298,0.235,0.505,0.485,1.621,2.463,2.871,1.912,11.218,12.204,11.346,12.068,0.465,0.26,0.22,0.255,1.71,3.184,1.816,2.814,T0458282,5.41,25.526,30.345,24.493,30.303,59.4,74.3,54.7,58.75,0.363,0.352,1.563,0.399,1.38,1.268,1.089,1.547
0.27,0.26,0.373,0.29,2.335,2.857,2.234,2.302,11.244,10.877,11.86,10.975,0.305,0.248,0.335,0.282,1.556,1.834,1.463,2.065,T0458290,5.3,30.758,29.692,34.015,33.194,58.9,51.9,58.9,56.8,0.324,0.369,0.317,0.453,1.533,1.027,1.235,1.513
0.225,0.21,0.245,0.255,1.717,2.056,2.425,2.196,16.294,16.159,14.451,13.747,0.328,0.318,0.292,0.288,4.162,4.525,3.384,2.381,T0458491,5.38,31.515,34.647,23.98,25.11,81.7,92.25,84.4,65.9,0.655,0.44,0.558,0.506,1.118,1.118,1.11,1.127
0.228,0.26,0.245,0.22,2.865,3.034,2.62,2.632,16.565,16.352,13.889,13.941,0.265,0.255,0.25,0.25,4.926,4.756,3.665,3.556,T0458491,6.44,34.98,36.089,26.556,26.779,96.7,88.75,71.2,75.6,0.531,0.622,0.496,0.518,1.182,1.211,1.143,1.14
0.225,0.245,0.248,0.255,2.733,2.556,2.581,2.524,16.526,17.036,14.294,14.422,0.285,0.265,0.265,0.258,4.41,4.357,3.396,3.494,T0458491,6.18,33.09,36.374,25.848,24.074,94.05,79.1,79.1,76.45,0.495,0.468,0.526,0.52,1.203,1.228,1.22,1.16
0.238,0.255,0.275,0.252,2.942,2.57,2.715,3.001,17.486,15.72,14.063,14.584,0.26,0.28,0.265,0.24,4.643,3.866,3.885,3.789,T0458491,6.35,34.18,35.446,26.12,27.41,100.2,84.35,80.85,77.3,0.516,0.572,0.561,0.501,1.195,1.196,1.203,1.224
0.25,0.25,0.235,0.23,2.112,2.631,2.138,2.183,13.844,14.327,16.18,16.423,0.277,0.26,0.305,0.325,3.263,3.194,3.773,4.07,T0458491,5.81,25.72,25.143,32.617,34.12,65.05,75.6,86.15,91.4,0.498,0.523,0.565,0.438,1.153,1.174,1.161,1.163
0.51,0.54,0.392,0.372,1.689,1.529,1.945,2.256,16.308,15.915,15.597,17.777,0.625,0.595,0.6,0.35,1.118,1.309,1.071,2.372,T0458530,4.07,28.946,29.476,28.764,33.294,72.2,67.8,65.6,83.1,0.639,0.774,0.693,0.533,1.67,1.434,1.198,1.201
0.24,0.545,0.285,0.5,2.018,1.345,1.806,2.419,16.038,16.573,15.024,16.862,0.48,0.59,0.355,0.585,1.687,1.923,1.786,1.084,T0458530,4.26,31.004,30.079,25.872,29.406,71.1,70.0,59.05,67.8,0.559,0.565,0.635,0.576,0.856,1.762,0.852,1.677
0.525,0.518,0.51,0.51,1.623,2.033,2.148,2.567,17.394,15.789,15.545,16.049,0.595,0.595,0.62,0.585,1.574,1.274,0.786,1.086,T0458530,4.22,28.517,29.191,29.384,29.301,77.65,76.5,74.4,65.6,0.567,0.515,0.512,0.535,1.773,1.503,1.7,1.712
0.21,0.22,0.215,0.22,0.618,0.843,0.749,0.829,2.766,2.962,2.732,3.078,0.145,0.15,0.16,0.15,0.593,0.744,0.555,0.752,T0458587,5.41,15.422,18.34,17.521,18.644,8.9,11.75,9.4,11.75,0.192,0.176,0.129,0.142,0.505,0.308,0.666,1.027
0.225,0.215,0.225,0.23,0.683,0.635,0.639,0.686,2.954,2.768,2.876,2.795,0.172,0.185,0.185,0.17,0.58,0.496,0.464,0.652,T0458587,4.63,18.003,18.841,17.574,15.024,10.7,9.4,8.9,9.9,0.161,0.161,0.192,0.198,0.97,0.607,0.566,0.46
0.225,0.22,0.22,0.24,0.848,0.733,0.683,0.769,3.275,2.642,2.807,3.26,0.165,0.16,0.16,0.145,0.627,0.538,0.6,0.811,T0458587,5.29,20.574,16.735,17.106,15.331,12.55,9.4,9.65,10.95,0.144,0.19,0.146,0.214,0.728,0.678,0.619,0.695
0.44,0.392,0.5,0.28,2.362,2.193,2.618,1.805,11.351,13.673,12.706,12.113,0.22,0.29,0.4,0.512,2.702,1.695,1.356,2.002,T0458833,5.81,27.176,32.087,33.686,32.158,51.4,66.8,64.2,59.9,0.401,0.34,0.396,0.379,1.444,1.707,1.689,1.731
0.268,0.265,0.275,0.28,2.494,2.407,2.789,1.981,13.003,11.976,13.865,10.962,0.27,0.245,0.275,0.22,2.243,2.579,3.235,2.502,T0458833,6.34,33.77,31.126,38.176,26.185,53.1,55.65,61.6,51.35,0.375,0.403,0.376,0.471,1.224,0.688,1.228,1.212
0.258,0.255,0.255,0.242,2.686,2.38,2.038,3.348,12.218,10.854,11.97,13.148,0.22,0.245,0.248,0.235,5.344,2.597,2.857,4.027,T0458833,6.71,31.087,32.649,29.234,32.308,66.8,61.6,55.65,92.5,0.402,0.434,0.578,0.436,1.48,1.264,1.146,1.198
0.3,0.29,0.57,0.27,2.483,2.467,2.998,1.836,12.705,11.057,11.987,11.898,0.315,0.252,0.3,0.555,2.402,2.646,1.864,1.635,T0458850,4.67,31.482,26.144,31.563,29.72,66.35,65.65,92.5,71.0,0.402,0.398,1.839,0.385,1.349,0.839,1.262,1.327
0.27,0.27,0.27,0.27,2.413,2.383,2.663,3.119,11.214,12.21,11.343,11.878,0.27,0.285,0.272,0.41,2.396,2.467,2.146,1.867,T0458850,4.61,24.816,33.45,27.737,31.941,63.0,65.0,74.4,72.4,0.47,0.378,0.445,0.345,0.591,1.313,1.338,1.333
0.38,0.348,0.29,0.362,2.739,2.178,2.788,2.352,12.828,10.867,12.416,11.134,0.28,0.515,0.395,0.225,2.443,0.957,1.908,2.559,T0458850,4.37,33.944,29.217,31.228,25.842,89.8,60.3,73.05,65.7,0.362,0.372,0.387,0.338,1.368,1.471,0.847,0.822
0.28,0.277,0.295,0.4,3.215,3.767,2.646,2.748,11.953,12.093,11.773,11.897,0.258,0.475,0.27,0.24,2.201,2.26,2.572,3.539,T0458850,4.96,30.265,32.627,32.525,27.885,67.7,108.6,69.7,61.7,0.374,0.354,0.376,0.427,0.831,1.153,1.398,0.88
0.238,0.26,0.26,0.362,0.629,0.79,0.678,0.657,3.858,4.028,3.666,3.564,0.26,0.37,0.252,0.275,0.602,0.615,0.892,0.652,T0459589,4.35,25.207,23.867,22.41,29.634,18.1,21.25,18.7,15.9,0.534,0.153,0.162,0.165,1.11,1.21,0.762,0.74
0.372,0.397,0.282,0.47,2.354,2.724,2.197,2.474,13.6,11.952,13.319,13.638,0.48,0.2,0.455,0.47,2.206,2.789,2.112,2.84,T0459591,5.56,29.57,23.59,30.213,30.782,65.9,55.5,65.9,64.2,0.456,0.431,0.514,0.414,1.507,1.474,1.195,1.648
0.285,0.39,0.37,0.368,2.719,1.995,1.886,3.042,11.613,13.381,14.132,15.443,0.205,0.245,0.465,0.265,3.386,4.101,3.786,3.375,T0459591,5.66,21.816,32.077,30.028,33.644,60.7,74.6,74.6,83.3,0.526,0.542,0.499,0.487,0.97,1.216,1.466,1.474
0.372,0.285,0.378,0.26,2.067,2.508,2.703,2.659,13.863,11.901,13.863,15.134,0.48,0.2,0.46,0.358,3.801,3.113,3.442,4.599,T0459591,5.65,32.257,22.109,30.227,33.31,76.3,57.2,83.3,97.1,0.415,0.512,0.461,0.473,1.486,0.987,1.499,1.448
0.265,0.28,0.26,0.305,2.283,2.269,3.051,2.395,12.183,12.474,12.74,12.578,0.25,0.345,0.222,0.225,3.188,1.91,2.99,3.478,T0459607,5.45,23.242,22.31,23.087,23.03,65.9,58.4,65.9,62.9,0.577,0.58,0.656,0.647,1.398,1.356,0.458,0.959
0.49,0.29,0.26,0.49,2.07,2.375,1.605,2.242,13.558,12.505,13.16,13.591,0.375,0.215,0.378,0.23,1.881,2.995,3.111,4.253,T0459607,4.18,22.484,18.117,24.418,22.214,67.4,56.9,66.65,65.9,0.625,0.706,0.48,0.629,1.342,0.895,1.374,0.826
0.275,0.275,0.388,0.265,2.578,1.96,1.256,2.542,13.067,12.42,13.358,12.22,0.222,0.353,0.445,0.205,3.603,2.624,3.312,2.979,T0459607,5.49,23.459,22.548,23.858,21.093,66.65,60.65,58.4,56.9,0.601,0.517,0.646,0.594,0.952,1.356,1.399,0.682
0.285,0.285,0.378,0.278,2.424,2.583,2.33,2.548,11.988,12.686,13.178,12.611,0.232,0.222,0.245,0.2,2.502,2.743,2.344,3.424,T0459607,5.59,21.672,23.892,25.627,21.151,59.15,59.9,62.9,62.9,0.503,0.486,0.465,0.5,0.923,1.435,1.446,0.957
0.275,0.478,0.38,0.382,2.149,2.332,1.771,2.459,12.077,13.471,12.75,12.589,0.21,0.245,0.44,0.435,3.033,2.632,2.379,2.415,T0459607,5.76,18.489,25.24,24.783,23.045,58.4,65.9,62.9,61.4,0.644,0.592,0.511,0.604,0.936,1.641,1.64,1.432
0.295,0.272,0.26,0.265,2.601,2.516,2.207,2.565,12.993,12.501,13.043,12.484,0.23,0.23,0.255,0.227,3.801,3.279,2.76,2.606,T0459607,5.42,22.976,21.075,21.434,22.98,66.65,62.9,58.4,58.4,0.477,0.493,0.472,0.49,0.982,0.936,0.95,0.47
0.258,0.482,0.275,0.285,2.557,2.681,2.97,2.043,11.951,14.276,13.564,12.39,0.21,0.24,0.198,0.338,3.155,2.261,3.331,2.282,T0459607,5.6,19.619,26.447,20.964,23.189,67.4,59.9,65.15,56.15,0.629,0.554,0.564,0.664,0.724,1.423,0.974,0.944
0.38,0.29,0.482,0.285,2.035,1.574,1.691,1.558,12.784,12.616,13.083,12.828,0.31,0.258,0.285,0.385,1.936,2.325,1.925,2.227,T0459607,4.72,18.641,21.365,23.158,22.888,53.9,54.65,55.4,57.65,0.697,0.456,0.527,0.688,0.966,1.423,1.318,1.148
0.28,0.28,0.265,0.295,2.193,2.379,1.944,2.391,12.544,13.634,12.529,13.428,0.225,0.227,0.36,0.222,2.963,3.666,2.605,2.389,T0459607,5.44,20.596,22.796,23.688,22.437,55.4,65.15,65.15,51.65,0.487,0.581,0.656,0.782,1.384,0.991,1.442,0.898
0.282,0.275,0.24,0.248,1.911,1.758,1.698,1.803,12.036,12.69,12.43,12.861,0.275,0.295,0.3,0.285,2.314,2.318,2.157,2.255,T0459607,4.52,20.199,20.307,21.896,22.025,56.9,62.9,49.4,52.4,0.57,0.633,0.51,0.443,0.988,0.954,0.813,0.818
0.28,0.255,0.275,0.27,2.715,2.556,2.755,2.5,12.935,12.814,11.919,12.92,0.23,0.225,0.205,0.222,2.673,3.383,2.957,3.357,T0459607,5.58,24.895,23.825,23.292,23.794,61.4,62.15,62.9,62.15,0.552,0.688,0.512,0.506,0.988,0.483,0.768,1.466
0.315,0.402,0.415,0.32,2.089,2.244,2.248,2.322,13.192,13.885,11.454,12.184,0.252,0.245,0.235,0.212,3.33,3.104,2.483,2.486,T0459607,5.49,24.765,26.241,19.588,20.556,63.65,64.4,55.4,56.15,0.517,0.515,0.575,0.567,0.995,1.242,1.246,1.025
0.295,0.33,0.295,0.295,2.952,2.503,2.424,2.458,13.282,13.043,12.578,13.277,0.232,0.23,0.232,0.245,3.397,3.765,2.427,3.319,T0459607,5.38,23.58,22.944,21.827,24.845,71.9,67.4,61.4,65.9,0.546,0.627,0.543,0.577,1.069,1.026,1.077,1.003
0.268,0.275,0.27,0.268,2.119,2.489,2.838,2.584,11.934,13.056,13.224,12.867,0.22,0.227,0.222,0.24,2.952,3.063,4.041,3.588,T0459607,5.58,20.664,23.642,22.416,22.185,53.9,54.65,73.4,70.4,0.547,0.479,0.505,0.491,0.722,1.457,0.485,0.982
0.28,0.275,0.28,0.25,3.047,3.147,2.284,2.62,14.016,12.5,13.088,12.918,0.22,0.185,0.202,0.212,3.507,3.066,3.97,3.186,T0459607,6.38,24.204,20.374,24.232,23.263,67.4,59.9,57.65,58.4,0.591,0.619,0.567,0.674,1.086,0.838,1.059,1.076
0.28,0.265,0.225,0.248,1.843,1.768,1.973,1.844,11.473,12.454,11.244,13.072,0.26,0.255,0.258,0.28,2.284,2.345,3.075,3.793,T0459662,5.46,33.181,43.049,29.77,42.628,55.1,51.9,61.6,69.7,0.316,0.378,0.304,0.284,0.974,0.872,1.017,1.153
0.32,0.452,0.335,0.438,2.112,1.916,2.224,2.904,11.877,11.289,13.166,13.233,0.39,0.26,0.413,0.275,2.281,2.606,1.698,2.157,T0459662,5.53,35.5,30.932,38.628,45.504,66.45,55.1,68.9,64.8,0.353,0.277,0.297,0.269,1.249,1.568,1.911,1.556
0.288,0.475,0.363,0.25,4.404,3.038,1.972,1.934,14.493,11.491,10.335,10.686,0.205,0.248,0.48,0.258,4.647,2.586,0.858,1.152,T0459740,5.03,9.191,26.482,27.786,26.322,70.1,45.65,40.8,40.75,3.053,2.755,0.371,0.403,0.807,1.22,1.245,1.249
0.368,0.268,0.28,0.29,1.765,1.608,1.921,5.165,10.621,10.589,11.311,15.19,0.255,0.24,0.28,0.205,1.234,1.45,1.228,4.733,T0459740,5.16,27.965,25.341,28.558,8.564,44.0,37.5,44.05,96.2,0.336,0.463,0.438,1.907,1.304,1.078,1.25,0.865
0.255,0.255,0.373,0.232,2.628,2.359,2.22,2.978,14.216,13.527,12.109,13.342,0.295,0.41,0.255,0.245,2.368,1.976,3.359,3.239,T0460115,5.45,38.158,37.359,29.452,30.194,79.4,73.0,65.1,66.7,0.364,0.372,0.481,0.426,1.222,1.216,1.369,1.034
